step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
142,500,25.081717,25.081717,0.760508,0.000000,23.504469,1024.000000,0.000000,0.000000,11.914342,
143,500,26.381447,26.381447,0.300404,0.000000,23.376769,1024.000000,0.000000,0.000000,11.915188,
144,500,26.268681,26.268681,0.245986,0.000000,23.538556,1024.000000,0.000000,0.000000,11.917376,
145,500,25.808014,25.808014,2.292598,0.000000,23.479591,1024.000000,0.000000,0.000000,11.916802,
146,500,27.371592,27.371592,1.076936,0.000000,23.322343,1024.000000,0.000000,0.000000,11.915960,
147,500,26.426016,26.426016,0.637525,0.000000,23.483654,1024.000000,0.000000,0.000000,11.914095,
148,500,26.881388,26.881388,0.469383,0.000000,23.594071,1024.000000,0.000000,0.000000,11.916680,
149,500,26.296560,26.296560,0.568683,0.000000,23.332037,1000.625000,0.000000,0.000000,11.918056,
150,500,26.821951,26.821951,1.143212,0.000000,23.378524,1024.000000,0.000000,0.000000,11.918291,0.0
151,500,26.163065,26.163065,0.707626,0.000000,23.587298,1024.000000,0.000000,0.000000,11.918097,
152,500,25.673798,25.673798,0.588536,0.000000,23.624492,1024.000000,0.000000,0.000000,11.918601,
153,500,25.968159,25.968159,0.765763,0.000000,23.602790,1024.000000,0.000000,0.000000,11.918944,
154,500,26.076122,26.076122,1.063977,0.000000,23.396838,1024.000000,0.000000,0.000000,11.918557,
155,500,26.977762,26.977762,0.916680,0.000000,23.433395,1024.000000,0.000000,0.000000,11.917665,
156,500,27.151537,27.151537,0.555032,0.000000,23.502304,1024.000000,0.000000,0.000000,11.917042,
157,500,26.679518,26.679518,0.368382,0.000000,23.599729,1024.000000,0.000000,0.000000,11.918444,
158,500,26.311028,26.311028,0.966130,0.000000,23.510577,1024.000000,0.000000,0.000000,11.919657,
159,500,26.632250,26.632250,0.702439,0.000000,23.348948,1024.000000,0.000000,0.000000,11.919937,
160,500,26.010368,26.010368,0.860093,0.000000,23.533608,1024.000000,0.000000,0.000000,11.920347,
161,500,26.043137,26.043137,0.700685,0.000000,23.618291,1024.000000,0.000000,0.000000,11.920370,
162,500,26.246975,26.246975,0.760366,0.000000,23.644328,1024.000000,0.000000,0.000000,11.920328,
163,500,26.108427,26.108427,0.567602,0.000000,23.549483,1024.000000,0.000000,0.000000,11.920166,
164,500,27.067719,27.067719,0.757294,0.000000,23.511469,1024.000000,0.000000,0.000000,11.919559,
165,500,27.925184,27.925184,0.761235,0.000000,24.246085,1024.000000,0.000000,0.000000,11.919891,
166,500,27.182167,27.182167,0.438690,0.000000,23.595432,1024.000000,0.000000,0.000000,11.920338,
167,500,26.212301,26.212301,0.809017,0.000000,23.522373,1024.000000,0.000000,0.000000,11.921218,
168,500,26.984098,26.984098,0.921671,0.000000,23.430303,1024.000000,0.000000,0.000000,11.921000,
169,500,26.674929,26.674929,0.825315,0.000000,23.469309,1024.000000,0.000000,0.000000,11.920292,
170,500,26.422123,26.422123,0.546828,0.000000,23.493104,1024.000000,0.000000,0.000000,11.920062,
171,500,26.615175,26.615175,0.427057,0.000000,23.587769,1024.000000,0.000000,0.000000,11.921145,
172,500,26.592966,26.592966,0.941985,0.000000,23.324748,1024.000000,0.000000,0.000000,11.921158,
173,500,27.001869,27.001869,1.432108,0.000000,23.391065,1024.000000,0.000000,0.000000,11.921384,
